15,15
7,7
26,26
29,29
12,12
4,4
17,17
22,22
20,20
8,8
0,0
32,32
10,10
2,2
16,16
35,35
10,10
30,30
2,2
19,19
14,14
6,6
18,18
25,25
20,21
11,11
3,3
34,34
11,11
31,31
3,3
13,13
5,5
24,24
28,28
9,9
1,1
33,33
23,23
27,27
15,15
7,7
26,26
29,29
12,12
4,4
17,17
22,22
20,20
8,8
0,0
32,32
10,10
2,2
16,16
35,35
10,10
30,30
2,2
19,19
14,14
6,6
25,18
25,25
17,21
11,11
3,3
34,34
11,11
31,31
3,3
13,13
5,5
24,24
28,28
9,9
1,1
33,33
23,23
27,27
23,23
27,27
15,15
7,7
26,26
29,29
12,12
4,4
17,17
22,22
20,20
8,8
0,0
32,32
10,10
2,2
16,16
35,35
10,10
30,30
2,2
19,19
14,14
6,6
18,18
25,25
25,21
11,11
3,3
34,34
11,11
31,31
3,3
13,13
5,5
24,24
28,28
9,9
1,1
33,33
23,23
27,27
